Vishnu priya,🎉🎉I 😍 love this game 🍫 🍫 🍬🍬🍭🍭🎁🎁🎉🎉﻿,1 month ago,1,No video
Zoya Khan,My fav. Game😍﻿,1 month ago,1,No video
yousuf basha,candy-crush saga my level is 5690﻿,1 month ago,1,No video
Mavas Mukesh,My levels 5870 Done very nice﻿,1 month ago,0,No video
Essam Roof,En iyi güzellik﻿,1 month ago,0,No video
Abdulnaseem Khan,Abdul naseem﻿,1 month ago,0,No video
MOHIT SINGH Tomar,My level 34 56 from India🇮🇳🇮🇳🇮🇳﻿,1 month ago,0,No video
Neval Sezer,Oyundan soyuttunuz﻿,1 month ago,0,No video
Guertys Lara,Reyvic 😎🤑🤠🤠🤠🤠﻿,1 month ago,0,No video
Yogesh joshi,My favourite game is candy crush saga 🍬🍩🍭🍩🍬🍭 and my level 2466😎😎😎﻿,1 month ago,0,No video
Rakhi Meta,😍😍🥳🥳﻿,1 month ago,0,No video
Martha Maake,I’m at level 1354💞💕﻿,1 month ago,0,No video
Vignesh V,I Love this game candy  🍰🍫🍩crush👍😘﻿,1 month ago,0,No video
Sneha Gupta,My level is also 5690﻿,1 month ago,0,No video
Mohamed Mohsen,I'm from Egypt I love candy crush﻿,1 month ago,0,No video
Ximena Secundino,988566 tereto a comer cocinada﻿,1 month ago,0,No video
Gina Agbovi,I love it but in Africa. It my favorite﻿,1 month ago,0,No video
shakar din,Hi﻿,1 month ago,0,No video
Baba shyam Ka deewana,"5126,🇮🇳🇮🇳🇮🇳🇮🇳

candy crush
But no have gifts ..
No have extra hours.
Very sad..﻿",1 month ago,0,No video
Jan Pierre Buaron,Yummy!﻿,1 month ago,0,No video
Gobind Singh,Very nice this game﻿,1 month ago,0,No video
Heather Janvier,Cool﻿,1 month ago,0,No video
Tamanna Khatoon,My favorite game﻿,1 month ago,0,No video
salman 143az,Nayj﻿,1 month ago,0,No video
Dipak Subedi,5690 cont. from nepal🇳🇵﻿,1 month ago (edited),0,No video
Katharina Klein,I love Candy Crush Saga﻿,1 month ago,0,No video
HỒNG Ánh,candy crush﻿,1 month ago,0,No video
Kanakavalli Govindarajan,Candy Crush Saga my le el is 5690 waiting to continue. Pls release as early as possible﻿,1 month ago,0,No video
HỒNG Ánh,😖🙃😔😕😔😴🙁😌😝😥🙁😕😌😜😥😣😌😮😜﻿,1 month ago,0,No video
HỒNG Ánh,candy crush saga official﻿,1 month ago,0,No video
Amit Kumar,My favourite﻿,1 month ago,0,No video
Kshamita Padyal,Yay!😄😄😄i am so excited for this celebration﻿,1 month ago,0,No video
Hakeem Johnson,I like kakes﻿,1 month ago,0,No video
Filipa Castelo Branco,I love this Game﻿,1 month ago,0,No video
Sheeda Tali,My candy crush 4040 From ISLAMABAD﻿,1 month ago,0,No video
Edson Antonio,"Estou na 5690, continua?﻿",1 month ago,0,No video
Premium Taxi AirPort,My favorite game I’m in level 5416﻿,1 month ago,0,No video
osman çoban,level is 5690 from İraq﻿,1 month ago,0,No video
Mayrita Velastegui,Delicioso﻿,1 month ago,0,No video
Hashem Azzam,I'm like this game﻿,1 month ago,0,No video
Neha Prabhu,What about  players in india??﻿,1 month ago,0,No video
White Cat,Woooooooo🍬🍧🍭🍨🍩🍬🎂🧁🍯🍪🍰🥧🍦🍨🍧🥮🍬🍭🍧🍨🍡🍥🍦🍦﻿,1 month ago,0,No video
Corazon Ballesteros,How can i have that candy i'm in the PHILIPPINES? THANKS!﻿,1 month ago,0,No video
Arije kafayat Oluwatoyosi,What about we in Nigeria﻿,1 month ago,0,No video
ZUFLU NICE,Verryyy goood ¡SWET!😊😊🤩🤩🤩💕💕🍭🍭🍭🍬🍬🍫﻿,1 month ago,0,No video
PipitTurahani Ch,"Love this game
I have fun everday
Thanks🙏🙏 Candycursh﻿",2 months ago,8,No video
PipitTurahani Ch,"25 october 2019

My level 4334 ✅﻿",2 months ago (edited),4,No video
Suu Hoang,My level 1601✅﻿,2 months ago (edited),4,No video
Mafijul love,candy new version online all player﻿,2 months ago,4,No video
Deva Kumar,My leval 1500﻿,2 months ago,3,No video
Waseem Fida,5665﻿,2 months ago,3,No video
osman çoban,My level is5645﻿,2 months ago,3,No video
Hasan roster,my level is 1050 ✅﻿,2 months ago,3,No video
Lâm kids,My level 5565﻿,2 months ago,2,No video
M.haikal Chenel668,My level #5645﻿,2 months ago,2,No video
Hakeem Johnson,Awesome candy online winner﻿,2 months ago,2,No video
Panda Marbun,"For while maybe I'm the winner from Indonesian, completed level 5645🇮🇩﻿",2 months ago,2,No video
Vijay Waghdhare,Candy crush saga level 5645﻿,2 months ago,2,No video
yousuf basha,my level is 5645﻿,2 months ago,2,No video
Isha Thakor,My level 1234﻿,1 day ago,0,No video
Rajesh reddy,"I won 5745.
Still waiting new episodes. 
Without any buy﻿",1 month ago,0,No video
Deepak Tiwari,Neelm tiwari prayagraj﻿,1 month ago,0,No video
farhan. fayadh,Luke mazing﻿,2 months ago,0,No video
farhan. fayadh,👻☠️💀﻿,2 months ago,0,No video
farhan. fayadh,Candy crush haloween scary﻿,2 months ago,0,No video
Priya Islam,Wow﻿,2 months ago,0,No video
las travesuras dé pupy funny dogs,Wow video wow candy crush is my feivory game    is candy crush﻿,2 months ago,0,No video
abu rajjak,4050﻿,2 months ago,0,No video
Dharmendra Kumar,My leval 800﻿,2 months ago,0,No video
suhani salvi,Level 1963﻿,2 months ago,0,No video
alex 93,CCS level1580﻿,2 months ago,0,No video
Hakeem Johnson,Fun yetti sweety﻿,2 months ago,2,No video
